Value_male,Value_fem
37.124,30.663
35.627,36.152
35.627,35.653
36.126,36.65
35.627,36.65
35.128,36.152
35.627,36.152
36.126,36.152
37.124,38.644
39.121,39.641
38.622,39.142
39.121,36.65
39.619,37.149
39.619,36.152
39.121,37.149
38.622,37.149
39.619,37.149
37.124,38.644
36.625,38.146
36.126,36.65
36.126,36.152
36.126,35.653
36.126,35.154
35.128,35.154
35.627,35.653
35.128,35.653
35.627,35.154
35.627,35.154
35.627,35.653
35.627,35.653
36.126,35.653
36.126,36.65
36.625,37.647
37.623,39.641
38.123,39.641
38.622,39.641
39.121,39.641
38.622,39.641
38.622,36.65
36.126,36.65
36.625,38.644
37.623,38.644
36.625,38.146
35.128,36.152
32.131,35.154
30.633,36.152
28.634,34.157
26.635,30.163
29.633,33.658
34.628,34.655
36.126,35.154
35.627,35.653
35.128,35.653
35.627,35.653
35.627,36.65
35.627,35.653
36.625,38.146
38.622,39.641
38.622,39.641
37.124,38.146
37.623,38.146
38.123,38.146
38.123,38.146
38.622,39.142
38.123,38.644
37.623,38.644
38.622,39.641
36.126,37.149
34.628,35.653
34.129,35.653
33.63,35.653
33.13,35.653
35.128,35.653
35.627,35.653
35.627,35.653
35.627,35.653
35.627,35.653
36.126,35.653
35.627,36.152
36.126,36.65
37.623,38.146
38.622,39.142
37.623,39.142
37.124,38.146
37.124,38.644
38.123,38.146
38.123,38.146
38.622,37.647
38.123,38.644
38.123,38.644
38.622,39.142
39.121,38.644
37.124,37.647
36.625,37.149
36.126,36.65
37.124,37.149
38.123,38.644
37.623,38.146
36.625,37.149
37.623,38.146
36.126,36.65
38.123,37.149
37.623,36.152
36.625,36.65
37.124,37.647
39.121,39.641
37.623,39.142
38.123,39.641
39.619,39.641
38.622,38.644
38.622,37.647
38.622,39.142
39.121,38.644
38.123,38.644
38.622,38.644
38.622,38.644
38.622,38.146
37.623,37.647
36.625,37.149
36.625,36.65
36.625,37.149
36.625,36.152
37.124,36.65
37.124,36.152
36.625,36.152
36.625,36.152
37.124,36.152
37.124,36.65
37.124,37.647
37.623,38.644
37.623,38.644
37.623,37.647
37.623,38.644
38.123,37.647
37.124,38.146
37.124,37.149
36.625,36.65
37.623,38.644
38.123,38.644
38.123,38.146
38.622,37.149
36.625,36.152
36.625,37.149
37.124,36.65
36.625,36.65
36.625,36.65
36.625,36.152
36.126,36.65
37.124,36.152
36.625,36.65
37.124,36.152
37.623,36.152
38.123,38.644
38.622,39.142
38.123,38.644
38.123,38.644
37.623,38.644
38.123,37.149
38.123,37.647
37.623,38.146
37.124,38.146
37.623,38.644
38.622,38.644
38.622,38.644
38.123,37.647
36.126,36.65
35.627,36.152
36.625,35.653
37.124,36.65
37.124,35.653
36.625,36.65
36.625,36.65
35.627,36.152
36.126,36.152
37.623,36.65
36.126,36.65
36.625,37.647
37.623,39.142
37.623,39.142
37.124,39.142
37.124,39.641
37.623,37.149
37.124,37.149
37.623,37.647
38.622,37.647
37.124,37.647
37.124,38.146
37.124,38.146
37.124,37.647
35.627,37.149
36.126,36.152
36.126,36.65
36.126,36.152
36.126,37.149
36.126,36.152
38.123,36.65
36.126,36.152
36.625,35.653
36.126,36.65
36.126,36.65
37.124,38.644
37.623,39.142
37.124,39.641
37.623,39.641
37.623,38.644
38.622,38.146
39.121,38.644
37.623,38.644
37.623,38.644
37.124,38.644
37.623,39.142
37.623,38.644
38.622,37.647
37.623,36.152
37.124,35.653
37.124,36.65
37.124,37.647
37.124,37.149
36.126,36.65
37.124,36.65
36.625,36.65
36.126,36.65
36.126,36.65
36.126,36.152
36.625,38.644
39.121,39.142
37.623,37.647
37.124,37.647
38.622,38.644
38.123,36.65
37.623,38.644
37.623,36.65
38.622,37.149
37.623,39.142
37.623,38.644
38.622,37.647
37.623,37.149
37.124,36.65
36.625,36.65
37.124,36.152
36.625,36.152
36.625,36.152
36.126,35.653
37.124,37.149
37.124,36.65
36.126,36.152
36.126,36.152
36.126,36.65
36.625,37.149
37.623,39.142
37.623,38.644
37.623,38.644
37.623,37.647
36.625,37.647
37.124,37.647
37.623,38.644
39.121,37.647
37.124,37.149
37.124,37.647
38.622,38.146
36.126,36.65
37.124,36.65
36.625,36.65
36.625,36.152
36.625,36.65
36.126,36.152
36.126,36.152
36.625,37.149
36.126,36.152
36.625,36.152
36.126,36.152
36.126,36.65
37.124,37.647
37.623,39.641
37.623,39.641
37.124,39.142
38.622,37.647
37.124,37.647
37.124,37.149
37.623,37.647
37.623,37.149
37.623,37.647
38.123,37.149
38.622,39.142
37.124,38.644
37.623,37.149
36.625,36.152
36.625,37.647
36.625,36.65
37.124,37.149
36.625,36.65
36.126,36.152
36.625,35.653
36.625,36.152
37.124,37.647
36.625,36.65
37.623,37.647
37.623,38.146
37.623,37.647
38.123,38.146
38.123,37.647
37.623,38.146
38.123,39.142
37.623,39.641
38.123,38.644
39.619,39.641
38.622,40.139
38.123,37.647
38.123,38.644
36.625,36.65
37.623,36.152
37.124,36.65
36.625,36.152
36.625,36.65
36.126,36.65
36.126,36.152
36.126,36.65
36.126,36.152
36.126,35.653
36.625,36.152
37.623,38.146
38.123,38.644
38.123,38.644
38.622,38.644
37.623,38.146
37.124,37.647
38.123,38.146
36.625,38.146
38.123,38.644
37.124,38.644
37.124,38.644
36.625,37.149
36.126,36.65
35.128,36.65
35.627,36.152
36.126,37.647
35.627,36.65
36.126,36.152
35.627,36.152
35.627,36.152
35.627,36.152
